program_study;text;target_role;is_relevant
Finance;Certified in CFA Level II with focus on corporate finance. Skilled in financial ratios and variance analysis.;Corporate Finance Analyst;ya
Finance;Certified in Chartered Financial Analyst (CFA) with FP&A focus. Strong analytical and problem-solving skills.;Financial Planner & Analyst (FP&A);ya
Finance;Led tree-planting initiatives for urban reforestation.;Forensic Accountant;tidak
Finance;Prepared audit reports for regulatory submissions to SEC. Strong organizational and time management skills.;Auditor;ya
Finance;Skilled in cross-cultural communication and language tutoring.;Risk Management Specialist;tidak
Finance;Used Power BI for financial dashboards and reporting. Strong problem-solving and time management skills.;Accountant;ya
Finance;Designed retirement and estate planning strategies using Quicken. Skilled in tax-efficient withdrawal strategies.;Financial Planner & Analyst (FP&A);ya
Finance;Led team-building activities for remote employees.;Financial Planner & Analyst (FP&A);tidak
Finance;Audited compliance with MiFID II regulations for trading activities. Proficient in financial regulations and reporting.;Compliance Officer (Finance);ya
Finance;Trained in Bloomberg Terminal for M&A analysis. Proficient in financial dashboards and reporting.;Corporate Finance Analyst;ya
Finance;Trained in Bloomberg Treasury Management for real-time analytics. Proficient in liquidity analysis and reporting.;Treasury Officer;ya
Finance;Specialized in financial literacy programs for underserved communities. Strong communication and teaching skills.;Financial Planner & Analyst (FP&A);ya
Finance;Prepared audit reports for regulatory submissions to SEC. Strong organizational and time management skills.;Auditor;ya
Finance;Interest in global cuisine and international culinary exploration.;Compliance Officer (Finance);tidak
Finance;Optimized working capital through supply chain finance solutions. Skilled in Bloomberg Treasury Management.;Treasury Officer;ya
Finance;Interest in global cuisine and international culinary exploration.;Accountant;tidak
Finance;Certified in green building standards like LEED.;Financial Planner & Analyst (FP&A);tidak
Finance;Advised on dividend policy and share buybacks. Proficient in financial planning and budgeting.;Corporate Finance Analyst;ya
Finance;Testified as expert witness in court cases involving financial crimes. Strong legal knowledge and communication skills.;Forensic Accountant;ya
Finance;Skilled in public speaking and debate competitions.;Auditor;tidak
Finance;Interest in outdoor survival skills and wilderness exploration.;Financial Planner & Analyst (FP&A);tidak
Finance;Passionate about graphic design and branding strategies.;Risk Management Specialist;tidak
Finance;Skilled in martial arts and self-defense instruction.;Tax Consultant;tidak
Finance;Skilled in drone flying and aerial photography.;Compliance Officer (Finance);tidak
Finance;Conducted stress testing for banks under Basel III requirements. Proficient in SAS Risk Management for predictive analytics.;Risk Management Specialist;ya
Finance;Certified Financial Modeling & Valuation Analyst (FMVA) with 4 years of experience. Skilled in Monte Carlo simulations.;Financial Analyst;ya
Finance;Optimized ROI for a portfolio of $10M using Monte Carlo simulations. Proficient in financial ratios analysis.;Financial Analyst;ya
Finance;Interest in global cuisine and international culinary exploration.;Financial Planner & Analyst (FP&A);tidak
Finance;Proficient in tax software like UltraTax and GoSystem. Trained in anti-money laundering (AML) regulations.;Tax Consultant;ya
Finance;Skilled in renewable energy advocacy and community education.;Treasury Officer;tidak
Finance;Skilled in voice acting and audiobook narration.;Treasury Officer;tidak
Finance;Certified in first aid and emergency response training.;Risk Management Specialist;tidak
Finance;Skilled in martial arts and self-defense instruction.;Financial Planner & Analyst (FP&A);tidak
Finance;Experience in event planning and coordination.;Financial Analyst;tidak
Finance;Skilled in travel blogging and digital storytelling.;Financial Planner & Analyst (FP&A);tidak
Finance;Analyzed market trends and investment opportunities using Bloomberg Terminal. Strong quantitative skills.;Financial Analyst;ya
Finance;Interest in climate change awareness campaigns.;Compliance Officer (Finance);tidak
